eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 6/26/2014 11:57:49 PM
#Cmp ( order = Reference )
| C1         10uF        ; 311-1343-1-ND;             ;             ;             ;             ;             ;             ;             
| C2         2.2 uF 6.3V ; 587-1254-1-ND ;             ;             ;             ;             ;             ;             ;             
| C3         1 uF        ; 587-1242-1-ND ;             ;             ;             ;             ;             ;             ;             
| C4         2.2uF 6.3V  ; 587-1254-1-ND;             ;             ;             ;             ;             ;             ;             
| C5         0.01uF 16V X7R; 490-1512-1-ND;             ;             ;             ;             ;             ;             ;             
| C6         4.7 uF ESR 0.2; 478-1772-1-ND;             ;             ;             ;             ;             ;             ;             
| C7         4.7 uF ESR 0.2; 478-1772-1-ND;             ;             ;             ;             ;             ;             ;             
| C8         22uF        ; 399-3716-1-ND;             ;             ;             ;             ;             ;             ;             
| C9         39 pF       ;             ;             ;             ;             ;             ;             ;             ;             
| C10        1 uF        ; 587-1242-1-ND ;             ;             ;             ;             ;             ;             ;             
| C11        68uF        ; 399-4698-1-ND;             ;             ;             ;             ;             ;             ;             
| CONN1      SERVO       ; 609-3461-ND ;             ;             ;             ;             ;             ;             ;             
| CONN2      3AAA-BATTERY;             ;             ;             ;             ;             ;             ;             ;             
| CONN3      IR          ;             ;             ;             ;             ;             ;             ;             ;             
| CONN4      BOOSTERPACK_LEFT;             ;             ;             ;             ;             ;             ;             ;             
| CONN5      BOOSTERPACK_RIGHT;             ;             ;             ;             ;             ;             ;             ;             
| D1         LED         ;             ;             ;             ;             ;             ;             ;             ;             
| D2         LED         ;             ;             ;             ;             ;             ;             ;             ;             
| D3         LED         ;             ;             ;             ;             ;             ;             ;             ;             
| D4         DIODESCH    ; MBRS140T3GOSCT-ND;             ;             ;             ;             ;             ;             ;             
| IC1        DRV8833     ;             ;             ;             ;             ;             ;             ;             ;             
| IC2        TPS77033    ;             ;             ;             ;             ;             ;             ;             ;             
| IC3        TPS77050    ;             ;             ;             ;             ;             ;             ;             ;             
| IC4        LMR61428    ;             ;             ;             ;             ;             ;             ;             ;             
| IR1        QRE1113     ;             ;             ;             ;             ;             ;             ;             ;             
| IR2        QRE1113     ;             ;             ;             ;             ;             ;             ;             ;             
